timestamp_utc,open,close
2025-11-25T14:30:00+00:00,57.36,57.79
2025-11-26T14:30:00+00:00,58.35,58.35
2025-11-28T14:30:00+00:00,58.38,58.38
2025-12-01T14:30:00+00:00,58.79,58.79
2025-12-02T14:30:00+00:00,57.96,58.08
2025-12-03T14:30:00+00:00,58.19,58.19
2025-12-04T14:30:00+00:00,58.64,58.64
2025-12-05T14:30:00+00:00,59.04,59.04
2025-12-08T14:30:00+00:00,58.07,58.07
2025-12-09T14:30:00+00:00,57.85,57.85
2025-12-10T14:30:00+00:00,57.5,58.03
2025-12-11T14:30:00+00:00,57.2,57.39
2025-12-12T14:30:00+00:00,57.1,57.1
2025-12-15T14:30:00+00:00,56.56,56.95
2025-12-16T14:30:00+00:00,55.6,55.6
2025-12-17T14:30:00+00:00,56.07,56.07
2025-12-18T14:30:00+00:00,56.09,56.09
2025-12-19T14:30:00+00:00,56.4,56.4
2025-12-22T14:30:00+00:00,57.53,57.53
2025-12-23T14:30:00+00:00,57.75,57.75
2025-12-24T14:30:00+00:00,57.83,57.83
2025-12-26T14:30:00+00:00,57.0,56.53
2025-12-29T14:30:00+00:00,57.51,57.51
2025-12-30T14:30:00+00:00,57.45,57.45
2025-12-31T14:30:00+00:00,56.95,56.95
2026-01-02T14:30:00+00:00,57.01,57.01
2026-01-05T14:30:00+00:00,57.6,57.6
2026-01-06T14:30:00+00:00,56.59,56.59
2026-01-07T14:30:00+00:00,55.89,55.85
2026-01-08T14:30:00+00:00,56.57,57.34
2026-01-09T14:30:00+00:00,58.24,58.24
2026-01-12T14:30:00+00:00,58.56,58.56
2026-01-13T14:30:00+00:00,59.5,59.65
2026-01-14T14:30:00+00:00,60.06,60.45
2026-01-15T14:30:00+00:00,58.29,58.29
2026-01-16T14:30:00+00:00,58.51,58.51
2026-01-20T14:30:00+00:00,59.19,59.19
2026-01-21T14:30:00+00:00,59.55,59.59
2026-01-22T14:30:00+00:00,58.91,58.65
2026-01-23T14:30:00+00:00,59.83,59.83
2026-01-26T14:30:00+00:00,59.7,59.73
2026-01-27T14:30:00+00:00,59.9,60.8
2026-01-28T14:30:00+00:00,60.88,61.24
2026-01-29T14:30:00+00:00,61.99,62.66
2026-01-30T14:30:00+00:00,62.9,62.51
2026-02-02T14:30:00+00:00,60.5,59.8
2026-02-03T14:30:00+00:00,59.8,60.96
2026-02-04T14:30:00+00:00,61.0,62.52
2026-02-05T14:30:00+00:00,61.0,61.26
2026-02-06T14:30:00+00:00,61.99,61.78
2026-02-09T14:30:00+00:00,62.78,62.64
2026-02-10T14:30:00+00:00,62.64,62.37
2026-02-11T14:30:00+00:00,62.84,62.84
2026-02-12T14:30:00+00:00,61.16,61.21
2026-02-13T14:30:00+00:00,60.98,61.19
2026-02-17T14:30:00+00:00,60.69,60.89
2026-02-18T14:30:00+00:00,62.65,62.94
2026-02-19T14:30:00+00:00,64.0,63.9
2026-02-20T14:30:00+00:00,63.6,63.95
2026-02-23T14:30:00+00:00,64.6,64.04
2026-02-24T14:30:00+00:00,63.77,63.83
2026-02-25T14:30:00+00:00,63.7,63.74
2026-02-26T14:30:00+00:00,63.5,63.32
2026-02-27T14:30:00+00:00,64.62,64.62
2026-03-02T14:30:00+00:00,67.0,66.18
2026-03-03T14:30:00+00:00,67.03,67.03
2026-03-04T14:30:00+00:00,67.4,67.22
2026-03-05T14:30:00+00:00,68.3,69.04
2026-03-06T14:30:00+00:00,71.5,71.41
2026-03-09T13:30:00+00:00,73.7,74.02
2026-03-10T13:30:00+00:00,69.37,71.46
2026-03-11T13:30:00+00:00,73.0,75.04
2026-03-12T13:30:00+00:00,77.0,78.89
2026-03-13T13:30:00+00:00,78.0,80.08
2026-03-16T13:30:00+00:00,78.22,77.67
2026-03-17T13:30:00+00:00,79.3,79.47
2026-03-18T13:30:00+00:00,80.0,80.97
2026-03-19T13:30:00+00:00,81.4,81.37
2026-03-20T13:30:00+00:00,81.01,81.49
2026-03-23T13:30:00+00:00,75.0,75.79
2026-03-24T13:30:00+00:00,79.29,79.38
2026-03-25T13:30:00+00:00,78.0,78.49
2026-03-26T13:30:00+00:00,80.88,80.6
2026-03-27T13:30:00+00:00,80.53,80.4
2026-03-30T13:30:00+00:00,80.75,80.03
2026-03-31T13:30:00+00:00,79.0,75.27
2026-04-01T13:30:00+00:00,73.97,73.85
2026-04-02T13:30:00+00:00,75.0,74.84
2026-04-06T13:30:00+00:00,74.72,76.48
2026-04-07T13:30:00+00:00,77.7,77.77
2026-04-08T13:30:00+00:00,74.75,76.22
2026-04-09T13:30:00+00:00,76.5,76.51
2026-04-10T13:30:00+00:00,76.2,77.3
2026-04-13T13:30:00+00:00,78.5,79.91
2026-04-14T13:30:00+00:00,78.5,77.88
2026-04-15T13:30:00+00:00,78.88,78.5
2026-04-16T13:30:00+00:00,78.48,78.87
2026-04-17T13:30:00+00:00,73.87,74.58
2026-04-20T13:30:00+00:00,76.75,76.87
2026-04-21T13:30:00+00:00,77.05,77.99
2026-04-22T13:30:00+00:00,79.54,79.26
2026-04-23T13:30:00+00:00,80.3,80.92
2026-04-24T13:30:00+00:00,80.16,80.4
2026-04-27T13:30:00+00:00,81.27,81.52
2026-04-28T13:30:00+00:00,82.71,82.71
2026-04-29T13:30:00+00:00,85.17,84.72
2026-04-30T13:30:00+00:00,84.29,84.98
2026-05-01T13:30:00+00:00,84.35,83.92
2026-05-04T13:30:00+00:00,85.94,88.66
2026-05-05T13:30:00+00:00,86.44,86.49
2026-05-06T13:30:00+00:00,82.02,81.19
2026-05-07T13:30:00+00:00,79.35,81.49
2026-05-08T13:30:00+00:00,81.64,82.84
2026-05-11T13:30:00+00:00,85.21,85.33
2026-05-12T13:30:00+00:00,87.86,87.89
2026-05-13T13:30:00+00:00,86.85,85.76
2026-05-14T13:30:00+00:00,85.07,85.53
2026-05-15T13:30:00+00:00,87.38,88.31
2026-05-18T13:30:00+00:00,88.3,90.85
2026-05-19T13:30:00+00:00,90.74,90.39
2026-05-20T13:30:00+00:00,89.58,86.47
2026-05-21T13:30:00+00:00,89.82,86.06
2026-05-22T13:30:00+00:00,86.76,86.31
2026-05-26T13:30:00+00:00,85.0,84.25
2026-05-27T13:30:00+00:00,81.69,81.39
2026-05-28T13:30:00+00:00,83.36,82.76
2026-05-29T13:30:00+00:00,81.32,81.26
2026-06-01T13:30:00+00:00,84.48,83.85
2026-06-02T13:30:00+00:00,83.84,84.65
2026-06-03T13:30:00+00:00,85.73,86.52
2026-06-04T13:30:00+00:00,84.0,84.25
2026-06-05T13:30:00+00:00,83.46,82.91
2026-06-08T13:30:00+00:00,84.12,84.77
2026-06-09T13:30:00+00:00,83.0,82.92
2026-06-10T13:30:00+00:00,84.2,84.6
2026-06-11T13:30:00+00:00,84.21,82.92
2026-06-12T13:30:00+00:00,80.85,80.05
2026-06-15T13:30:00+00:00,76.67,76.84
2026-06-16T13:30:00+00:00,75.1,73.84
2026-06-17T13:30:00+00:00,74.6,74.21
2026-06-18T13:30:00+00:00,72.52,74.17
2026-06-22T13:30:00+00:00,72.8,72.28
2026-06-23T13:30:00+00:00,71.76,71.89
2026-06-24T13:30:00+00:00,69.24,69.44
2026-06-25T13:30:00+00:00,69.14,71.03
2026-06-26T13:30:00+00:00,68.98,68.6
2026-06-29T13:30:00+00:00,69.5,69.99
2026-06-30T13:30:00+00:00,70.57,68.98
2026-07-01T13:30:00+00:00,68.5,68.4
2026-07-02T13:30:00+00:00,67.66,68.56
2026-07-06T13:30:00+00:00,68.77,68.53
2026-07-07T13:30:00+00:00,69.42,70.13
2026-07-08T13:30:00+00:00,73.23,72.76
2026-07-09T13:30:00+00:00,72.42,71.56
2026-07-10T13:30:00+00:00,71.45,71.15
2026-07-13T13:30:00+00:00,73.22,77.25
2026-07-14T13:30:00+00:00,77.82,77.52
2026-07-15T13:30:00+00:00,78.54,78.08
2026-07-16T13:30:00+00:00,78.5,77.34
2026-07-17T13:30:00+00:00,79.68,80.34
2026-07-20T13:30:00+00:00,79.72,80.9
2026-07-21T13:30:00+00:00,82.45,82.11
2026-07-22T13:30:00+00:00,83.23,83.64
2026-07-23T13:30:00+00:00,86.44,87.01
2026-07-24T13:30:00+00:00,85.4,85.15
2026-07-27T13:30:00+00:00,81.35,80.25
2026-07-28T13:30:00+00:00,79.04,77.17
2026-07-29T13:30:00+00:00,81.27,82.04
2026-07-30T13:30:00+00:00,80.64,80.8
2026-07-31T13:30:00+00:00,82.06,81.49
2026-08-03T13:30:00+00:00,77.36,77.9
2026-08-04T13:30:00+00:00,74.92,74.4
2026-08-05T13:30:00+00:00,74.65,74.05
2026-08-06T13:30:00+00:00,75.01,76.16
2026-08-07T13:30:00+00:00,75.75,77.15
2026-08-10T13:30:00+00:00,78.64,81.16
2026-08-11T13:30:00+00:00,80.32,81.95
2026-08-12T13:30:00+00:00,81.49,82.17
2026-08-13T13:30:00+00:00,80.21,80.44
2026-08-14T13:30:00+00:00,80.34,81.47
2026-08-17T13:30:00+00:00,81.92,83.74
2026-08-18T13:30:00+00:00,84.71,84.06
