timestamp_utc,open,high,low,close,volume
2023-10-23T13:30:00Z,69.67,69.67,69.67,69.67,0.0
2023-10-24T13:30:00Z,69.34,69.34,69.34,69.34,0.0
2023-10-25T13:30:00Z,70.16,70.16,70.16,70.16,0.0
2023-10-26T13:30:00Z,69.59,69.59,69.59,69.59,0.0
2023-10-27T13:30:00Z,70.34,70.34,70.34,70.34,0.0
2023-11-07T14:30:00Z,67.39,67.39,67.39,67.39,0.0
2023-11-08T14:30:00Z,66.37,66.37,66.37,66.37,0.0
2023-11-09T14:30:00Z,66.82,66.82,66.82,66.82,0.0
2023-11-10T14:30:00Z,67.65,67.65,67.65,67.65,0.0
2023-11-13T14:30:00Z,68.15,68.15,68.15,68.15,0.0
2023-11-14T14:30:00Z,67.65,67.65,67.65,67.65,0.0
2023-11-15T14:30:00Z,67.37,67.37,67.37,67.37,0.0
2023-11-16T14:30:00Z,65.5,65.5,65.5,65.5,0.0
2023-11-17T14:30:00Z,67.23,67.23,67.23,67.23,0.0
2023-11-20T14:30:00Z,68.01,68.01,68.01,68.01,0.0
2023-11-21T14:30:00Z,67.8,67.8,67.8,67.8,0.0
2023-11-22T14:30:00Z,67.29,67.29,67.29,67.29,0.0
2023-11-24T14:30:00Z,66.6,66.6,66.6,66.6,0.0
2023-11-27T14:30:00Z,66.29,66.29,66.29,66.29,0.0
2023-11-28T14:30:00Z,66.88,66.88,66.88,66.88,0.0
2023-11-29T14:30:00Z,67.6,67.6,67.6,67.6,0.0
2023-11-30T14:30:00Z,66.55,66.55,66.55,66.55,0.0
2023-12-01T14:30:00Z,65.82,65.82,65.82,65.82,0.0
2023-12-04T14:30:00Z,66.12,66.12,66.12,66.12,0.0
2023-12-05T14:30:00Z,65.69,65.69,65.69,65.69,0.0
2023-12-06T14:30:00Z,64.73,64.73,64.73,64.73,0.0
2023-12-07T14:30:00Z,64.75,64.75,64.75,64.75,0.0
2023-12-08T14:30:00Z,65.53,65.53,65.53,65.53,0.0
2023-12-11T14:30:00Z,65.87,65.87,65.87,65.87,0.0
2023-12-12T14:30:00Z,64.64,64.64,64.64,64.64,0.0
2023-12-13T14:30:00Z,65.34,65.34,65.34,65.34,0.0
2023-12-14T14:30:00Z,66.47,66.47,66.47,66.47,0.0
2023-12-15T14:30:00Z,66.39,66.39,66.39,66.39,0.0
2023-12-18T14:30:00Z,66.66,66.66,66.66,66.66,0.0
2023-12-19T14:30:00Z,67.13,67.13,67.13,67.13,0.0
2023-12-20T14:30:00Z,66.92,66.92,66.92,66.92,0.0
2023-12-21T14:30:00Z,66.32,66.32,66.32,66.32,0.0
2023-12-22T14:30:00Z,65.6,65.6,65.6,65.6,0.0
2023-12-26T14:30:00Z,66.07,66.07,66.07,66.07,0.0
2023-12-27T14:30:00Z,65.86,65.86,65.86,65.86,0.0
2023-12-28T14:30:00Z,64.74,64.74,64.74,64.74,0.0
2023-12-29T14:30:00Z,64.5,64.5,64.5,64.5,0.0
2024-01-02T14:30:00Z,64.3,64.3,64.3,64.3,0.0
2024-01-03T14:30:00Z,65.38,65.38,65.38,65.38,0.0
2024-01-04T14:30:00Z,64.95,64.95,64.95,64.95,0.0
2024-01-05T14:30:00Z,65.4,65.4,65.4,65.4,0.0
2024-01-08T14:30:00Z,64.33,64.33,64.33,64.33,0.0
2024-01-09T14:30:00Z,64.64,64.64,64.64,64.64,0.0
2024-01-10T14:30:00Z,64.49,64.49,64.49,64.49,0.0
2024-01-11T14:30:00Z,64.87,64.87,64.87,64.87,0.0
2024-01-12T14:30:00Z,65.65,65.65,65.65,65.65,0.0
2024-01-16T14:30:00Z,65.23,65.23,65.23,65.23,0.0
2024-01-17T14:30:00Z,65.08,65.08,65.08,65.08,0.0
2024-01-18T14:30:00Z,65.61,65.61,65.61,65.61,0.0
2024-01-19T14:30:00Z,65.08,65.08,65.08,65.08,0.0
2024-01-22T14:30:00Z,66.1,66.1,66.1,66.1,0.0
2024-01-23T14:30:00Z,65.98,65.98,65.98,65.98,0.0
2024-01-24T14:30:00Z,66.27,66.27,66.27,66.27,0.0
2024-01-25T14:30:00Z,67.04,67.04,67.04,67.04,0.0
2024-01-26T14:30:00Z,67.53,67.53,67.53,67.53,0.0
2024-01-29T14:30:00Z,66.88,66.88,66.88,66.88,0.0
2024-01-30T14:30:00Z,67.5,67.5,67.5,67.5,0.0
2024-01-31T14:30:00Z,66.58,66.58,66.58,66.58,0.0
2024-02-01T14:30:00Z,65.31,65.31,65.31,65.31,0.0
2024-02-02T14:30:00Z,64.64,64.64,64.64,64.64,0.0
2024-02-05T14:30:00Z,65.13,65.13,65.13,65.13,0.0
2024-02-06T14:30:00Z,65.11,65.11,65.11,65.11,0.0
2024-02-07T14:30:00Z,65.44,65.44,65.44,65.44,0.0
2024-02-08T14:30:00Z,66.32,66.32,66.32,66.32,0.0
2024-02-09T14:30:00Z,66.75,66.75,66.75,66.75,0.0
2024-02-12T14:30:00Z,66.93,66.93,66.93,66.93,0.0
2024-02-13T14:30:00Z,67.19,67.19,67.19,67.19,0.0
2024-02-14T14:30:00Z,66.58,66.58,66.58,66.58,0.0
2024-02-15T14:30:00Z,66.89,66.89,66.89,66.89,0.0
2024-02-16T14:30:00Z,67.1,67.1,67.1,67.1,0.0
2024-02-20T14:30:00Z,66.24,66.24,66.24,66.24,0.0
2024-02-21T14:30:00Z,66.41,66.41,66.41,66.41,0.0
2024-02-22T14:30:00Z,66.68,66.68,66.68,66.68,0.0
2024-02-23T14:30:00Z,66.14,66.14,66.14,66.14,0.0
2024-02-26T14:30:00Z,66.38,66.38,66.38,66.38,0.0
2024-02-27T14:30:00Z,66.68,66.68,66.68,66.68,0.0
2024-02-28T14:30:00Z,66.53,66.53,66.53,66.53,0.0
2024-02-29T14:30:00Z,66.35,66.35,66.35,66.35,0.0
2024-03-01T14:30:00Z,66.5,66.5,66.5,66.5,0.0
2024-03-04T14:30:00Z,67.08,67.08,67.08,67.08,0.0
2024-03-05T14:30:00Z,66.5,66.5,66.5,66.5,0.0
2024-03-06T14:30:00Z,66.55,66.55,66.55,66.55,0.0
2024-03-07T14:30:00Z,66.76,66.76,66.76,66.76,0.0
2024-03-08T14:30:00Z,66.38,66.38,66.38,66.38,0.0
2024-03-11T13:30:00Z,66.91,66.91,66.91,66.91,0.0
2024-03-12T13:30:00Z,66.82,66.82,66.82,66.82,0.0
2024-03-13T13:30:00Z,67.59,67.59,67.59,67.59,0.0
2024-03-14T13:30:00Z,67.96,67.96,67.96,67.96,0.0
2024-03-15T13:30:00Z,68.21,68.21,68.21,68.21,0.0
2024-03-18T13:30:00Z,68.49,68.49,68.49,68.49,0.0
2024-03-19T13:30:00Z,68.69,68.69,68.69,68.69,0.0
2024-03-20T13:30:00Z,68.28,68.28,68.28,68.28,0.0
2024-03-21T13:30:00Z,68.3,68.3,68.3,68.3,0.0
2024-03-22T13:30:00Z,67.95,67.95,67.95,67.95,0.0
2024-03-25T13:30:00Z,68.52,68.52,68.52,68.52,0.0
2024-03-26T13:30:00Z,68.51,68.51,68.51,68.51,0.0
2024-03-27T13:30:00Z,68.49,68.49,68.49,68.49,0.0
2024-03-28T13:30:00Z,68.95,68.95,68.95,68.95,0.0
2024-04-01T13:30:00Z,68.93,68.93,68.93,68.93,0.0
2024-04-02T13:30:00Z,69.11,69.11,69.11,69.11,0.0
2024-04-03T13:30:00Z,69.5,69.5,69.5,69.5,0.0
2024-04-04T13:30:00Z,69.78,69.78,69.78,69.78,0.0
2024-04-05T13:30:00Z,69.6,69.6,69.6,69.6,0.0
2024-04-08T13:30:00Z,69.5,69.5,69.5,69.5,0.0
2024-04-09T13:30:00Z,69.07,69.07,69.07,69.07,0.0
2024-04-10T13:30:00Z,69.46,69.46,69.46,69.46,0.0
2024-04-11T13:30:00Z,69.55,69.55,69.55,69.55,0.0
2024-04-12T13:30:00Z,70.0,70.0,70.0,70.0,0.0
2024-04-15T13:30:00Z,70.28,70.28,70.28,70.28,0.0
2024-04-16T13:30:00Z,70.55,70.55,70.55,70.55,0.0
2024-04-17T13:30:00Z,69.48,69.48,69.48,69.48,0.0
2024-04-18T13:30:00Z,69.35,69.35,69.35,69.35,0.0
2024-04-19T13:30:00Z,69.1,69.1,69.1,69.1,0.0
2024-04-22T13:30:00Z,68.98,68.98,68.98,68.98,0.0
2024-04-23T13:30:00Z,69.38,69.38,69.38,69.38,0.0
2024-04-24T13:30:00Z,69.63,69.63,69.63,69.63,0.0
2024-04-25T13:30:00Z,69.85,69.85,69.85,69.85,0.0
2024-04-26T13:30:00Z,70.11,70.11,70.11,70.11,0.0
2024-04-29T13:30:00Z,69.69,69.69,69.69,69.69,0.0
2024-04-30T13:30:00Z,69.38,69.38,69.38,69.38,0.0
2024-05-01T13:30:00Z,67.75,67.75,67.75,67.75,0.0
2024-05-02T13:30:00Z,68.18,68.18,68.18,68.18,0.0
2024-05-03T13:30:00Z,68.34,68.34,68.34,68.34,0.0
2024-05-06T13:30:00Z,68.63,68.63,68.63,68.63,0.0
2024-05-07T13:30:00Z,68.42,68.42,68.42,68.42,0.0
2024-05-08T13:30:00Z,68.21,68.21,68.21,68.21,0.0
2024-05-09T13:30:00Z,68.37,68.37,68.37,68.37,0.0
2024-05-10T13:30:00Z,67.94,67.94,67.94,67.94,0.0
2024-05-13T13:30:00Z,68.2,68.2,68.2,68.2,0.0
2024-05-14T13:30:00Z,68.17,68.17,68.17,68.17,0.0
2024-05-15T13:30:00Z,68.36,68.36,68.36,68.36,0.0
2024-05-16T13:30:00Z,68.73,68.73,68.73,68.73,0.0
2024-05-17T13:30:00Z,69.18,69.18,69.18,69.18,0.0
2024-05-20T13:30:00Z,69.37,69.37,69.37,69.37,0.0
2024-05-21T13:30:00Z,69.21,69.21,69.21,69.21,0.0
2024-05-22T13:30:00Z,68.3,68.3,68.3,68.3,0.0
2024-05-23T13:30:00Z,68.0,68.0,68.0,68.0,0.0
2024-05-24T13:30:00Z,68.14,68.14,68.14,68.14,0.0
2024-05-28T13:30:00Z,69.29,69.29,69.29,69.29,0.0
2024-05-29T13:30:00Z,69.08,69.08,69.08,69.08,0.0
2024-05-30T13:30:00Z,68.55,68.55,68.55,68.55,0.0
2024-05-31T13:30:00Z,68.86,68.86,68.86,68.86,0.0
2024-06-03T13:30:00Z,67.47,67.47,67.47,67.47,0.0
2024-06-04T13:30:00Z,66.17,66.17,66.17,66.17,0.0
2024-06-05T13:30:00Z,66.18,66.18,66.18,66.18,0.0
2024-06-06T13:30:00Z,66.86,66.86,66.86,66.86,0.0
2024-06-07T13:30:00Z,67.42,67.42,67.42,67.42,0.0
2024-06-10T13:30:00Z,68.41,68.41,68.41,68.41,0.0
2024-06-11T13:30:00Z,68.83,68.83,68.83,68.83,0.0
2024-06-12T13:30:00Z,69.01,69.01,69.01,69.01,0.0
2024-06-13T13:30:00Z,69.04,69.04,69.04,69.04,0.0
2024-06-14T13:30:00Z,68.69,68.69,68.69,68.69,0.0
2024-06-17T13:30:00Z,68.61,68.61,68.61,68.61,0.0
2024-06-18T13:30:00Z,69.51,69.51,69.51,69.51,0.0
2024-06-20T13:30:00Z,69.74,69.74,69.74,69.74,0.0
2024-06-21T13:30:00Z,69.38,69.38,69.38,69.38,0.0
2024-06-24T13:30:00Z,69.93,69.93,69.93,69.93,0.0
2024-06-25T13:30:00Z,69.74,69.74,69.74,69.74,0.0
2024-06-26T13:30:00Z,70.05,70.05,70.05,70.05,0.0
2024-06-27T13:30:00Z,69.95,69.95,69.95,69.95,0.0
2024-06-28T13:30:00Z,69.74,69.74,69.74,69.74,0.0
2024-07-01T13:30:00Z,70.69,70.69,70.69,70.69,0.0
2024-07-02T13:30:00Z,70.67,70.67,70.67,70.67,0.0
2024-07-05T13:30:00Z,70.76,70.76,70.76,70.76,0.0
2024-07-08T13:30:00Z,70.7,70.7,70.7,70.7,0.0
2024-07-09T13:30:00Z,69.97,69.97,69.97,69.97,0.0
2024-07-10T13:30:00Z,70.0,70.0,70.0,70.0,0.0
2024-07-11T13:30:00Z,69.89,69.89,69.89,69.89,0.0
2024-07-12T13:30:00Z,69.89,69.89,69.89,69.89,0.0
2024-07-15T13:30:00Z,69.68,69.68,69.68,69.68,0.0
2024-07-16T13:30:00Z,69.12,69.12,69.12,69.12,0.0
2024-07-17T13:30:00Z,69.51,69.51,69.51,69.51,0.0
2024-07-18T13:30:00Z,69.54,69.54,69.54,69.54,0.0
2024-07-25T13:30:00Z,68.27,68.27,68.27,68.27,0.0
2024-07-26T13:30:00Z,67.85,67.85,67.85,67.85,0.0
2024-07-29T13:30:00Z,67.52,67.52,67.52,67.52,0.0
2024-07-30T13:30:00Z,67.14,67.14,67.14,67.14,0.0
2024-07-31T13:30:00Z,68.27,68.27,68.27,68.27,0.0
2024-08-01T13:30:00Z,67.67,67.67,67.67,67.67,0.0
2024-08-02T13:30:00Z,65.96,65.96,65.96,65.96,0.0
2024-08-05T13:30:00Z,66.11,66.11,66.11,66.11,0.0
2024-08-06T13:30:00Z,65.78,65.78,65.78,65.78,0.0
2024-08-07T13:30:00Z,66.58,66.58,66.58,66.58,0.0
2024-08-08T13:30:00Z,67.24,67.24,67.24,67.24,0.0
2024-08-09T13:30:00Z,67.56,67.56,67.56,67.56,0.0
2024-08-12T13:30:00Z,68.9,68.9,68.9,68.9,0.0
2024-08-13T13:30:00Z,68.01,68.01,68.01,68.01,0.0
2024-08-14T13:30:00Z,67.78,67.78,67.78,67.78,0.0
2024-08-15T13:30:00Z,68.3,68.3,68.3,68.3,0.0
2024-08-16T13:30:00Z,67.59,67.59,67.59,67.59,0.0
2024-08-19T13:30:00Z,66.85,66.85,66.85,66.85,0.0
2024-08-20T13:30:00Z,66.28,66.28,66.28,66.28,0.0
2024-08-21T13:30:00Z,65.74,65.74,65.74,65.74,0.0
2024-08-22T13:30:00Z,66.19,66.19,66.19,66.19,0.0
2024-08-23T13:30:00Z,67.15,67.15,67.15,67.15,0.0
2024-08-26T13:30:00Z,68.03,68.03,68.03,68.03,0.0
2024-08-27T13:30:00Z,67.37,67.37,67.37,67.37,0.0
2024-08-28T13:30:00Z,66.74,66.74,66.74,66.74,0.0
2024-08-29T13:30:00Z,67.46,67.46,67.46,67.46,0.0
2024-08-30T13:30:00Z,66.47,66.47,66.47,66.47,0.0
2024-09-03T13:30:00Z,65.05,65.05,65.05,65.05,0.0
2024-09-04T13:30:00Z,64.9,64.9,64.9,64.9,0.0
2024-09-05T13:30:00Z,65.33,65.33,65.33,65.33,0.0
2024-09-06T13:30:00Z,64.65,64.65,64.65,64.65,0.0
2024-09-09T13:30:00Z,64.74,64.74,64.74,64.74,0.0
2024-09-10T13:30:00Z,63.12,63.12,63.12,63.12,0.0
2024-09-11T13:30:00Z,63.97,63.97,63.97,63.97,0.0
2024-09-12T13:30:00Z,64.88,64.88,64.88,64.88,0.0
2024-09-13T13:30:00Z,64.44,64.44,64.44,64.44,0.0
2024-09-16T13:30:00Z,65.16,65.16,65.16,65.16,0.0
2024-09-17T13:30:00Z,65.71,65.71,65.71,65.71,0.0
2024-09-18T13:30:00Z,65.66,65.66,65.66,65.66,0.0
2024-09-19T13:30:00Z,66.04,66.04,66.04,66.04,0.0
2024-09-20T13:30:00Z,66.01,66.01,66.01,66.01,0.0
2024-09-23T13:30:00Z,65.98,65.98,65.98,65.98,0.0
2024-09-24T13:30:00Z,66.78,66.78,66.78,66.78,0.0
2024-09-25T13:30:00Z,66.05,66.05,66.05,66.05,0.0
2024-09-26T13:30:00Z,65.41,65.41,65.41,65.41,0.0
2024-09-27T13:30:00Z,65.52,65.52,65.52,65.52,0.0
2024-09-30T13:30:00Z,65.72,65.72,65.72,65.72,0.0
2024-10-01T13:30:00Z,66.68,66.68,66.68,66.68,0.0
2024-10-02T13:30:00Z,66.64,66.64,66.64,66.64,0.0
2024-10-03T13:30:00Z,68.55,68.55,68.55,68.55,0.0
2024-10-04T13:30:00Z,68.21,68.21,68.21,68.21,0.0
2024-10-07T13:30:00Z,69.73,69.73,69.73,69.73,0.0
2024-10-08T13:30:00Z,68.33,68.33,68.33,68.33,0.0
2024-10-09T13:30:00Z,67.78,67.78,67.78,67.78,0.0
2024-10-10T13:30:00Z,68.72,68.72,68.72,68.72,0.0
2024-10-11T13:30:00Z,68.75,68.75,68.75,68.75,0.0
2024-10-14T13:30:00Z,68.28,68.28,68.28,68.28,0.0
2024-10-15T13:30:00Z,66.31,66.31,66.31,66.31,0.0
2024-10-16T13:30:00Z,65.86,65.86,65.86,65.86,0.0
2024-10-17T13:30:00Z,66.07,66.07,66.07,66.07,0.0
2024-10-18T13:30:00Z,65.4,65.4,65.4,65.4,0.0
2024-10-21T13:30:00Z,66.14,66.14,66.14,66.14,0.0
2024-10-22T13:30:00Z,67.16,67.16,67.16,67.16,0.0
2024-10-23T13:30:00Z,66.37,66.37,66.37,66.37,0.0
2024-10-24T13:30:00Z,66.26,66.26,66.26,66.26,0.0
2024-10-25T13:30:00Z,67.14,67.14,67.14,67.14,0.0
2024-10-28T13:30:00Z,64.42,64.42,64.42,64.42,0.0
2024-10-29T13:30:00Z,64.39,64.39,64.39,64.39,0.0
2024-10-30T13:30:00Z,65.28,65.28,65.28,65.28,0.0
2024-10-31T13:30:00Z,65.34,65.34,65.34,65.34,0.0
2024-11-01T13:30:00Z,65.65,65.65,65.65,65.65,0.0
2024-11-04T14:30:00Z,66.26,66.26,66.26,66.26,0.0
2024-11-05T14:30:00Z,66.38,66.38,66.38,66.38,0.0
2024-11-06T14:30:00Z,66.45,66.45,66.45,66.45,0.0
2024-11-07T14:30:00Z,67.0,67.0,67.0,67.0,0.0
2024-11-08T14:30:00Z,66.25,66.25,66.25,66.25,0.0
2024-11-11T14:30:00Z,65.09,65.09,65.09,65.09,0.0
2024-11-12T14:30:00Z,65.0,65.0,65.0,65.0,0.0
2024-11-13T14:30:00Z,64.96,64.96,64.96,64.96,0.0
2024-11-14T14:30:00Z,64.81,64.81,64.81,64.81,0.0
2024-11-15T14:30:00Z,63.9,63.9,63.9,63.9,0.0
2024-11-18T14:30:00Z,65.54,65.54,65.54,65.54,0.0
2024-11-19T14:30:00Z,65.87,65.87,65.87,65.87,0.0
2024-11-20T14:30:00Z,65.51,65.51,65.51,65.51,0.0
2024-11-21T14:30:00Z,65.81,65.81,65.81,65.81,0.0
2024-11-22T14:30:00Z,66.34,66.34,66.34,66.34,0.0
2024-11-25T14:30:00Z,64.96,64.96,64.96,64.96,0.0
2024-11-26T14:30:00Z,65.16,65.16,65.16,65.16,0.0
2024-11-27T14:30:00Z,64.93,64.93,64.93,64.93,0.0
2024-12-02T14:30:00Z,64.51,64.51,64.51,64.51,0.0
2024-12-03T14:30:00Z,65.53,65.53,65.53,65.53,0.0
2024-12-04T14:30:00Z,64.49,64.49,64.49,64.49,0.0
2024-12-05T14:30:00Z,64.35,64.35,64.35,64.35,0.0
2024-12-06T14:30:00Z,64.06,64.06,64.06,64.06,0.0
2024-12-09T14:30:00Z,64.96,64.96,64.96,64.96,0.0
2024-12-10T14:30:00Z,64.95,64.95,64.95,64.95,0.0
2024-12-11T14:30:00Z,65.51,65.51,65.51,65.51,0.0
2024-12-12T14:30:00Z,65.57,65.57,65.57,65.57,0.0
2024-12-13T14:30:00Z,66.08,66.08,66.08,66.08,0.0
2024-12-16T14:30:00Z,65.82,65.82,65.82,65.82,0.0
2024-12-17T14:30:00Z,65.28,65.28,65.28,65.28,0.0
2024-12-18T14:30:00Z,65.17,65.17,65.17,65.17,0.0
