timestamp_utc,open,close
2025-11-25T14:30:00+00:00,57.81,57.81
2025-11-26T14:30:00+00:00,58.37,58.37
2025-11-28T14:30:00+00:00,58.5,58.5
2025-12-01T14:30:00+00:00,58.78,58.78
2025-12-02T14:30:00+00:00,58.01,58.08
2025-12-03T14:30:00+00:00,58.17,58.17
2025-12-04T14:30:00+00:00,58.59,58.59
2025-12-05T14:30:00+00:00,59.0,58.98
2025-12-08T14:30:00+00:00,58.05,58.05
2025-12-09T14:30:00+00:00,57.84,57.84
2025-12-10T14:30:00+00:00,57.51,58.03
2025-12-11T14:30:00+00:00,57.51,57.4
2025-12-12T14:30:00+00:00,57.12,57.12
2025-12-15T14:30:00+00:00,57.01,57.01
2025-12-16T14:30:00+00:00,55.92,55.67
2025-12-17T14:30:00+00:00,56.1,56.1
2025-12-18T14:30:00+00:00,56.45,56.12
2025-12-19T14:30:00+00:00,56.41,56.41
2025-12-22T14:30:00+00:00,57.5,57.5
2025-12-23T14:30:00+00:00,57.7,57.7
2025-12-24T14:30:00+00:00,57.8,57.8
2025-12-26T14:30:00+00:00,56.55,56.55
2025-12-29T14:30:00+00:00,57.3,57.49
2025-12-30T14:30:00+00:00,57.42,57.42
2025-12-31T14:30:00+00:00,56.92,56.92
2026-01-02T14:30:00+00:00,57.0,57.0
2026-01-05T14:30:00+00:00,57.3,57.53
2026-01-06T14:30:00+00:00,56.85,56.56
2026-01-07T14:30:00+00:00,55.84,55.84
2026-01-08T14:30:00+00:00,57.29,57.29
2026-01-09T14:30:00+00:00,58.15,58.15
2026-01-12T14:30:00+00:00,58.46,58.46
2026-01-13T14:30:00+00:00,59.51,59.51
2026-01-14T14:30:00+00:00,60.28,60.28
2026-01-15T14:30:00+00:00,58.21,58.22
2026-01-16T14:30:00+00:00,58.44,58.44
2026-01-20T14:30:00+00:00,59.1,59.1
2026-01-21T14:30:00+00:00,59.5,59.5
2026-01-22T14:30:00+00:00,58.6,58.6
2026-01-23T14:30:00+00:00,59.73,59.73
2026-01-26T14:30:00+00:00,59.65,59.65
2026-01-27T14:30:00+00:00,60.64,60.64
2026-01-28T14:30:00+00:00,60.55,61.03
2026-01-29T14:30:00+00:00,62.37,62.37
2026-01-30T14:30:00+00:00,62.4,62.24
2026-02-02T14:30:00+00:00,59.59,59.59
2026-02-03T14:30:00+00:00,60.73,60.73
2026-02-04T14:30:00+00:00,60.93,62.23
2026-02-05T14:30:00+00:00,61.03,61.03
2026-02-06T14:30:00+00:00,61.53,61.53
2026-02-09T14:30:00+00:00,61.9,62.36
2026-02-10T14:30:00+00:00,62.12,62.12
2026-02-11T14:30:00+00:00,63.22,62.54
2026-02-12T14:30:00+00:00,60.97,60.97
2026-02-13T14:30:00+00:00,60.6,60.93
2026-02-17T14:30:00+00:00,60.66,60.66
2026-02-18T14:30:00+00:00,62.56,62.56
2026-02-19T14:30:00+00:00,63.6,63.43
2026-02-20T14:30:00+00:00,63.1,63.49
2026-02-23T14:30:00+00:00,63.85,63.61
2026-02-24T14:30:00+00:00,63.6,63.46
2026-02-25T14:30:00+00:00,63.3,63.38
2026-02-26T14:30:00+00:00,62.59,62.93
2026-02-27T14:30:00+00:00,63.63,64.14
2026-03-02T14:30:00+00:00,65.67,65.43
2026-03-03T14:30:00+00:00,65.96,66.09
