timestamp_utc,open,high,low,close,volume
2025-09-22T13:30:00Z,6958.75,6958.75,6958.75,6958.75,0.0
2025-09-23T13:30:00Z,6918.0,6918.0,6918.0,6918.0,0.0
2025-09-24T13:30:00Z,6897.5,6897.5,6897.5,6897.5,0.0
2025-09-25T13:30:00Z,6870.75,6870.75,6870.75,6870.75,0.0
2025-09-26T13:30:00Z,6906.75,6906.75,6906.75,6906.75,0.0
2025-09-29T13:30:00Z,6924.0,6924.0,6924.0,6924.0,0.0
2025-09-30T13:30:00Z,6948.75,6948.75,6948.75,6948.75,0.0
2025-10-01T13:30:00Z,6968.25,6968.25,6968.25,6968.25,0.0
2025-10-02T13:30:00Z,6970.5,6970.5,6970.5,6970.5,0.0
2025-10-03T13:30:00Z,6971.0,6971.0,6971.0,6971.0,0.0
2025-10-06T13:30:00Z,6999.25,6999.25,6999.25,6999.25,0.0
2025-10-07T13:30:00Z,6968.5,6968.5,6968.5,6968.5,0.0
2025-10-08T13:30:00Z,7008.0,7008.0,7008.0,7008.0,0.0
2025-10-09T13:30:00Z,6987.75,6987.75,6987.75,6987.75,0.0
2025-10-10T13:30:00Z,6800.0,6800.0,6800.0,6800.0,0.0
2025-10-13T13:30:00Z,6875.0,6890.75,6875.0,6890.75,1.0
2025-10-14T13:30:00Z,6870.0,6883.5,6870.0,6883.5,1.0
2025-10-15T13:30:00Z,6913.5,6913.5,6913.5,6913.5,0.0
2025-10-16T13:30:00Z,6866.25,6866.25,6866.25,6866.25,0.0
2025-10-17T13:30:00Z,6900.25,6900.25,6900.25,6900.25,0.0
2025-10-20T13:30:00Z,6973.25,6973.25,6973.25,6973.25,0.0
2025-10-21T13:30:00Z,6973.25,6973.25,6973.25,6973.25,0.0
2025-10-22T13:30:00Z,6936.25,6936.25,6936.25,6936.25,0.0
2025-10-23T13:30:00Z,6976.0,6976.0,6976.0,6976.0,0.0
2025-10-24T13:30:00Z,7031.75,7031.75,7031.75,7031.75,0.0
2025-10-27T13:30:00Z,7122.25,7122.25,7122.25,7122.25,0.0
2025-10-28T13:30:00Z,7140.0,7140.0,7140.0,7140.0,0.0
2025-10-29T13:30:00Z,7137.0,7137.0,7137.0,7137.0,0.0
2025-10-30T13:30:00Z,7072.0,7072.0,7072.0,7072.0,0.0
2025-10-31T13:30:00Z,7091.0,7091.0,7091.0,7091.0,0.0
2025-11-03T14:30:00Z,7099.5,7099.5,7099.5,7099.5,0.0
2025-11-04T14:30:00Z,7014.0,7014.0,7014.0,7014.0,0.0
2025-11-05T14:30:00Z,7042.0,7042.0,7042.0,7042.0,0.0
2025-11-06T14:30:00Z,6956.0,6956.0,6956.0,6956.0,0.0
2025-11-07T14:30:00Z,6959.75,6959.75,6959.75,6959.75,0.0
2025-11-10T14:30:00Z,7068.25,7068.25,7068.25,7068.25,0.0
2025-11-11T14:30:00Z,7085.75,7085.75,7085.75,7085.75,0.0
2025-11-12T14:30:00Z,7090.5,7090.5,7090.5,7090.5,0.0
2025-11-13T14:30:00Z,6972.75,6972.75,6972.75,6972.75,0.0
2025-11-14T14:30:00Z,7000.0,7000.0,6966.0,6966.0,1.0
2025-11-17T14:30:00Z,6900.0,6900.0,6899.75,6899.75,1.0
2025-11-18T14:30:00Z,6810.25,6840.75,6810.25,6840.75,1.0
2025-11-19T14:30:00Z,6900.0,6900.0,6863.25,6863.25,2.0
2025-11-20T14:30:00Z,6770.0,6770.0,6756.5,6756.5,1.0
2025-11-21T14:30:00Z,6821.0,6821.0,6821.0,6821.0,0.0
2025-11-24T14:30:00Z,6924.5,6924.5,6924.5,6924.5,0.0
2025-11-25T14:30:00Z,6985.5,6985.5,6985.5,6985.5,0.0
2025-11-26T14:30:00Z,7034.5,7034.5,7034.5,7034.5,0.0
2025-11-28T14:30:00Z,7065.5,7065.5,7065.5,7065.5,0.0
2025-12-01T14:30:00Z,7032.0,7032.0,7032.0,7032.0,0.0
2025-12-02T14:30:00Z,7050.0,7050.0,7050.0,7050.0,0.0
2025-12-03T14:30:00Z,7067.25,7067.25,7067.25,7067.25,0.0
2025-12-04T14:30:00Z,7070.75,7074.5,7070.75,7074.5,2.0
2025-12-05T14:30:00Z,7089.5,7089.5,7089.5,7089.5,0.0
2025-12-08T14:30:00Z,7050.0,7065.0,7050.0,7065.0,16.0
2025-12-09T14:30:00Z,7060.75,7060.75,7060.75,7060.75,0.0
2025-12-10T14:30:00Z,7099.5,7099.5,7099.5,7099.5,0.0
2025-12-11T14:30:00Z,7119.25,7119.25,7119.25,7119.25,0.0
2025-12-12T14:30:00Z,7039.75,7039.75,7039.75,7039.75,0.0
2025-12-15T14:30:00Z,7053.0,7053.0,7030.0,7030.0,1.0
2025-12-16T14:30:00Z,6999.75,6999.75,6999.75,6999.75,0.0
